rank	id	year	section	title	local_path	pages	words	score	signals	abstract_excerpt	conclusion_excerpt	review_status	relevance	thesis_use	target_cards	notes_pages
1	FP-237	1999	Other	Surprising Harmonies	input/publications-francois-pachet/pachet-99-Casys.pdf	20	9416	453	interest_attention:0/0/0/7; expectation_novelty:1/10/4/129; creation_generation:0/0/0/29; interaction_reflexivity:0/0/1/35; subject_preference:0/0/0/7; temporality_structure:0/9/3/159; constraint_exploration:0/0/2/24	Understanding surprise is a key to the cognition of music, at all levels of musical structure: rhythm, melody, harmony, timbre. This paper addresses the modeling of surprise in particular music sequences: Jazz harmonic progressions. Most of the works in music cognition relate surprise to the phenomenon of musical expectation: a surprise is seen as something unexpected. Furthermore, unexpected more or less means “unheard before”. In this paper, we emphasize the importance of the rich algebraic structure underlying Jazz chord sequences, and suggest that harmonic surprise may not only be related to unexpected structures, but also to “calculus”, i.e. to an ability to deduce a sequence from a set of combinatorial rules. We first introduce the domain of Jazz chord sequences and describe its underlying algebraic structure, based on the notion of chord substitution. We then propose to use a statistical-based data compression approach to infer recurring patterns from the corpus, and show that this yields reasonable but limited expectation structures. We then propose a mechanism to induce cho	The studies described in this paper address the modeling of harmonic surprise from a computational viewpoint. First we showed that it is possible to extract pattern harmonic information on chord sequences automatically in an unsupervised manner, using simple data compression techniques. Experiments on Jazz harmony show that the extracted patterns provide a satisfying notion of expectation and surprise, which capture important regularities of Jazz harmony. Second, we have argued that the underlying algebra of Jazz harmony, represented as chord substitution rules, plays an important role in the perception of chord sequences, in that they allow to understand more sequences than what is allowed by the mere analysis of recurring patterns. These 18 Pachet, François, Surprising Harmonies, International Journal on Computing Anticipatory Systems, 1999 rules are difficult to learn in theory because they involve studying all possible contexts of subsequences, but we propose an approximation to contexts limited to only one neighboring chord. We show that we are able to induce a number of rul	couverture_argumentaire_complete	fort	Attentes apprises et surprise reconstructible plutôt qu'inattendu brut	idea_0019	PDF p. 1-3, 9-14, 18-19
2	FP-025	2016	Book chapters	The creative process in lead sheet composition	input/publications-francois-pachet/martin-16a.pdf	23	5464	398	interest_attention:0/0/0/5; expectation_novelty:0/0/0/3; creation_generation:2/11/6/195; interaction_reflexivity:0/6/2/47; subject_preference:0/1/0/27; temporality_structure:0/0/0/6; constraint_exploration:0/0/0/12	Popular songs have arguably a huge impact on society. It is therefore legitimate to investigate the nature of the creative act underlying popular song composition. Ethnographic experiments in song composition are difficult to conduct. This chapter describes an experiment addressing the role of feedback in the lead sheet composition process. To which extent peer feedback can affect the quality of a music composition? How does musical experience influence the quality of a feedback during the song composition process? Participants compose short songs using an online lead sheet editor, and are given the possibility to feedback on other participants’ songs. Feedbacks can either be accepted or rejected in a later step. Quantitative data is collected from this experiment that can be used to estimate the relation between the intrinsic quality of songs (estimated by peer evaluation) and the nature of feedback. Results show that peer feedback can indeed improve both the quality of a song composition and the composer satisfaction about it. Also, composers tend to prefer compositions from other	The aim of this experiment was primarily to examine quantitatively the impact of peer feedback in music composition and secondly to assess how important is the experience of the participants as musicians or composers in the whole process. Before any improvement or suggestions, participants had to write their first song. Interestingly, results show that participants’ previous experience in composition did not impact the quality of their songs. The same pattern was also found concerning the participants’ previous experience as a musician. These two results suggest that the quality of a song (based on social consensus) does not really tap in musicality but in something else, presumably creativity ( ?). Results show that composers who received feedback (G2) clearly evaluated better the improved song than the original, meaning that they were satisfied with the improvement they made. Further, the evaluation based on social consensus had a longer improvement also for G2. Hence, participants who received feedbacks not only felt that they had composed a better song after the improvement s	couverture_argumentaire_complete	fort	Dissociation entre jugement propre et consensus ; préférences indexées par l'expérience des juges ; effet sélectif du feedback	idea_0046; idea_0084; idea_0148	PDF p. 3-16
3	FP-042	1999	Book chapters	Active Listening: What is in the Air?	input/publications-francois-pachet/pachet-99a.pdf	16	7483	362	interest_attention:0/0/0/5; expectation_novelty:0/0/0/18; creation_generation:0/1/2/49; interaction_reflexivity:0/0/1/5; subject_preference:1/9/5/82; temporality_structure:0/0/0/37; constraint_exploration:0/5/3/94	The XXth century is full of technological inventions that made the very idea of a listening device possible, from the early gramophones to the latest portable mini disk players. What evolutions can we predict for the listening devices of the future, and how these evolutions will change the way we access and listen to music ? In this chapter, we suggest that listening devices can be greatly enhanced by providing new forms of user controls which provide users with semantically preserving variations. These controls are intended to allow listeners different musical perceptions on a piece of music, by opposition to traditional listening, in which the musical media is played passively by some neutral device. The objective is both to increase the musical comfort of listeners, and, when possible, to provide listeners with smoother paths to new music (music they do not know, or do not like). This chapter illustrates this idea on a few examples of active listening projects conducted at Sony Computer Science Laboratory, Paris, based on the notion of constrained exploratory space. These constra	The new landscape of digital multimedia opens new doors for interactive listening environments which provide richer musical experiences. We have argued that such environments require some sort of semantic preserving systems. We have illustrated this idea with two projects currently developed at Sony CSL, in the areas of sound spatialization, and content-based music selection. In both cases, the technology of constraints is proposed for representing these “seeds of semantics”, that yield exploration spaces with meaningful controls. A lot remains to be done, in other areas of music listening and perception, but these projects already suggest that the traditional borders between composition, production and listening may have to be redefined. In particular, a question which arises is what kind of music composers will make, if they know that listeners have active listening devices at home ? If we know what technology is in the air, what music will be in our ears ? References Amazon Music Store web site, http://www.amazon.com, 1998. Assayag G., Agon C., Fineberg, J., Hanappe P., “An Obj	couverture_argumentaire_complete	moyen à fort	Parcours d'écoute, invariants sémantiques et propriétés globales des programmes	idea_0014; idea_0102; idea_0105	PDF p. 2-8, 9-15
4	FP-036	2006	Book chapters	Enhancing Individual Creativity with Interactive Musical Reflective Systems	input/publications-francois-pachet/pachet-06-Enhancing_Individual_Creativity.pdf	15	6528	348	interest_attention:0/0/1/15; expectation_novelty:0/0/1/4; creation_generation:1/0/5/101; interaction_reflexivity:1/0/5/125; subject_preference:0/0/0/4; temporality_structure:0/0/0/104; constraint_exploration:0/0/0/28		We have introduced the concept of Interactive Reflexive Musical System as a class of interactive systems aimed at enhancing musical creativity. The most important characteristics of IRMS are 1) the gradual learning of musical material which allows a scaffolding in complexity, necessary to sustain the interest of users for long periods of time, 2) the lack of a standard graphical user interface which allows users to concentrate on playing music without thinking about the system design. We proposed an architecture as well as three different applications created with this architecture. Several experiments are described with various users using an IRMS (children, improvisers, composers). The most important contribution to creativity studies is to introduce a novel class of studies formed by the interaction between a user and an IRMS. Finally, we believe our work is an example of a fruitful collaboration between experimental psychology and computer science. Because innovation in computer science is rarely strictly endogenous (innovative ideas in computer science often come from blending	couverture_argumentaire_complete	fort	Miroir réflexif, déplacement de l'attention vers le sujet, échafaudage de complexité et intérêt soutenu	idea_0006; idea_0007; idea_0137; idea_0147	PDF p. 1-6, 8-14
5	FP-220	2002	Other	Interacting with a musical learning system: the continuator	input/publications-francois-pachet/pachet-02-icmai-final.pdf	8	5446	342	interest_attention:0/0/1/6; expectation_novelty:0/0/0/4; creation_generation:0/0/5/77; interaction_reflexivity:2/0/5/62; subject_preference:0/0/0/8; temporality_structure:1/0/2/122; constraint_exploration:0/0/2/32		We have described a music generation system which is able to produce music learnt in a agnostic manner, while remaining intimately controllable. This is made possible by introducing several improvements to the basic Markovian generation, and by implementing the generation as a real Figure 6. Bernard Lubat playing with the time, step-by-step process. The resulting system is able to Continuator. produce musical continuations of any user – including beginners - according to previously learnt, arbitrary styles. The experiments and concerts performed with professional NEW MUSICAL COLLABORATIVE MODES artists show that not only the music generated is of very An interesting consequence of the design of the system is high quality (as good as the music learnt by the system), that it leads to several new playing modes with other but, more importantly, that such a learning facility can be musicians. Traditionally, improvised music has consisted in turned into an actual music instrument, easily and quite limited types of interaction, mostly based around seamlessly integrated in the pla	couverture_argumentaire_complete	moyen à fort	Effet Aha, contrôle intime et conservation par l'utilisateur des régions jugées intéressantes	idea_0006; idea_0137	PDF p. 1-8
6	FP-035	2006	Book chapters	Creativity Studies and Musical Interaction	input/publications-francois-pachet/Pachet-06-Creativity_Studies.pdf	10	4937	332	interest_attention:0/0/0/16; expectation_novelty:0/0/0/3; creation_generation:1/0/10/170; interaction_reflexivity:1/0/5/50; subject_preference:0/0/0/4; temporality_structure:0/0/0/3; constraint_exploration:0/0/0/12		This chapter has introduced the notion of interactive systems as a theme for creativity studies. We described several approaches in interactive systems aiming at enhancing musical creativity, and conversely sketched some works in creativity studies that can be related to understanding creativity with interactive systems. This position is probably preliminary, as no systematic studies of creativity involving interactive systems has been conducted to our knowledge. Additionally, we stress on the fact that there has been many popular interactive music systems in use by the general public for more than a decade now, and that this situation creates a natural and rich area to study for those wishing to gain new insights in creativity. 4 References Bamberger, Jeanne (1977) in search of a tune. In D. Perkins and B Leonar (Eds), The Arts and Cognition. Baltimore: Johns Hopkins Press Boden, M. (1990). The Creative Mind: Myths and Mechanisms. London: Weidenfeld and Nicolson Eds. Page 9 in Musical Creativity: Current Research in Theory and Practice, Deliège, I. And Wiggins, G. Editors,	couverture_argumentaire_complete	fort	Définition subjective et située du nouveau et de l'intéressant ; unité d'analyse formée par le couple humain-machine	idea_0006; idea_0125; idea_0147	PDF p. 1-6, 7-9
7	FP-055	2011	Important Journals	Markov constraints: steerable generation of Markov sequences	input/publications-francois-pachet/pachet-09c.pdf	25	11055	330	interest_attention:0/0/0/7; expectation_novelty:0/0/0/1; creation_generation:1/0/7/177; interaction_reflexivity:0/0/2/33; subject_preference:0/0/1/2; temporality_structure:1/0/4/228; constraint_exploration:1/0/4/240		We have proposed a formulation of Markov sequence generation as a Branch and Bound constraint optimization problem. The Markovian property is represented as a cost function, estimated from a stack of elementary Markov constraints. Such a formulation allows the designer of an interactive Markovian system to post arbitrary additional constraints representing user control criteria, a feature which is impossible with random walk generation. This approach can find sequences whose global probability is very low, therefore which would not be generated, in practice, by greedy approaches. Our approach can accommodate for arbitrary cost functions, including the cost functions used in practice. As such, our approach solves the problem of steerable Markovian sequence generation in its full generality. We have illustrated our approach on a realistic interactive melody generation system, and on chord sequence generation, two subjects that are traditionally addressed with Markov models. The scalability of our approach has been shown to be sufficient for real time applications, in which Markov co	couverture_argumentaire_complete	fort scientifique	Pilotage global d'un modèle stylistique, exploration de solutions très improbables et articulation sampling-contraintes	idea_0096; idea_0109	PDF p. 1-8, 21-23
8	FP-189	2009	Other	Stimulating creative flow through computational feedback	input/publications-francois-pachet/jones-09a.pdf	10	3915	317	interest_attention:0/0/0/6; expectation_novelty:0/0/0/17; creation_generation:1/7/0/82; interaction_reflexivity:1/0/0/30; subject_preference:0/0/0/6; temporality_structure:0/0/0/25; constraint_exploration:0/1/0/14	This report summarises the discussion and experimental work pro- duced by the authors at the 2009 symposium Computational Creativity: An Interdisciplinary Approach, Dagstuhl Leibniz-Zentrum für Informatik. It outlines the motivation for using computational techniques to stimulate human creativity, briefly summarising its historical context and predeces- sors, and describes two software studies produced by the group as base-line exemplars of these ideas. “Already at the very beginning of the productive act, shortly af- ter the initial motion to create, occurs the first counter motion, the initial movement of receptivity. This means: the creator controls whether what he has produced so far is good.” Paul Klee, Pedagogical Sketchbook [6, p33] Within the field of computational creativity, theoretical emphasis is frequently located on one side or other of an established dichotomy: either studying and formalising the human creative process through analysis, or producing new systems which exhibit such notions of creativity through synthesis. There is, however, a third rela		couverture_argumentaire_complete	moyen à fort	Niveau optimal de distorsion, indétermination productive et feedback continu comme moteur d'exploration	idea_0006; idea_0121	PDF p. 1-4, 7-9
9	FP-026	2015	Book chapters	Creating Music and Texts with Flow Machines	input/publications-francois-pachet/ghedini-15b.pdf	21	7435	291	interest_attention:0/0/0/11; expectation_novelty:0/1/0/14; creation_generation:1/3/0/266; interaction_reflexivity:0/2/0/6; subject_preference:0/0/0/7; temporality_structure:0/2/0/26; constraint_exploration:0/6/0/51	This chapter introduces the vision and the technical challenges of the Flow Machines project. Flow Machines aim at fostering creativity in artistic domains such as music and literature. We first observe that typically, great artists do not output just single artefacts but develop novel, individual styles. Style mirrors an individual’s uniqueness; style makes an artist's work recognised and recognisable. Artists develop their own style after prolonged periods of imitation and exploration of the style of others. We envision style exploration as the application of existing styles, considered as texture, to arbitrary constraints, considered as structure. The goal of Flow Machines is to assist this process by allowing users to explicitly manipulate styles as computational objects. During interactions with Flow Machines, the user can create artefacts (melodies, texts, orchestrations) by combining styles with arbitrary constraints. Style exploration under user-defined constraints raises complex sequence generation issues that were addressed and solved for the most part during the first ha		couverture_argumentaire_complete	fort conceptuel	Style comme texture, contrainte comme structure, développement diachronique du style et sélection par l'utilisateur des objets intéressants	idea_0054; idea_0080; idea_0109	PDF p. 6-15
10	FP-046	1995	Book chapters	Regularity, document generation and Cyc	input/publications-francois-pachet/mili-95a-Regularity_Document_Generation_and_Cyc.pdf	33	12881	279	interest_attention:0/2/0/31; expectation_novelty:0/0/0/5; creation_generation:1/5/0/60; interaction_reflexivity:0/0/0/2; subject_preference:0/0/0/7; temporality_structure:0/2/0/47; constraint_exploration:0/0/0/28	We are interested in building and maintaining semantic nets in general, and hierarchical semantic nets in particular. In [Mili, 1988], we developed a model of hierarchical semantic nets that generalizes taxonomic models by replacing the concept of property inheritance by a more general behavior of properties that we called regularity [Mili & Rada, 1990a]. We are also interested in the generation of structured documents from hypertext. We argue that authors structure their descriptive documents based on personal but systematic traversals of a model of the domain of discourse [Mili & Rada, 1990b]; when that model consists of a semantic net that exhibits regularity, the traversal can be rationalized and described concisely. Within the context of our research, we acquired an electronic copy of the Cyc knowledge base [Lenat & Guha, 1990] to: 1) use the semantic net underlying Cyc to support the generation of argumentative and explanatory documents, and 2) identify regularity patterns. Interestingly, the sheer size and richness of Cyc posed challenging performance problems to its designer		triage lexical seulement				
